CMDLINE /usr/local/bin/python3 MemTest.py
CHLD 2 23.980469 1631459695.2280
CHLD 3 23.601562 1631459695.2281
CHLD 4 23.585938 1631459695.2281
CHLD 5 24.859375 1631459695.2281
CHLD 6 24.558594 1631459695.2282
CHLD 7 24.871094 1631459695.2282
CHLD 8 25.824219 1631459695.2283
CHLD 9 24.535156 1631459695.2283
MEM 18.863281 1631459695.3320
CHLD 0 7.519531 1631459695.3405
CHLD 1 24.476562 1631459695.3405
CHLD 2 23.980469 1631459695.3406
CHLD 3 23.601562 1631459695.3406
CHLD 4 23.585938 1631459695.3407
CHLD 5 24.859375 1631459695.3407
CHLD 6 24.636719 1631459695.3407
CHLD 7 24.871094 1631459695.3408
CHLD 8 25.824219 1631459695.3408
CHLD 9 24.535156 1631459695.3409
MEM 18.863281 1631459695.4417
CHLD 0 7.519531 1631459695.4494
CHLD 1 24.476562 1631459695.4494
CHLD 2 23.980469 1631459695.4494
CHLD 3 23.601562 1631459695.4495
CHLD 4 23.585938 1631459695.4495
CHLD 5 24.859375 1631459695.4496
CHLD 6 24.636719 1631459695.4496
CHLD 7 25.277344 1631459695.4497
CHLD 8 25.824219 1631459695.4497
CHLD 9 24.613281 1631459695.4498
MEM 18.863281 1631459695.5502
CHLD 0 7.519531 1631459695.5585
CHLD 1 24.476562 1631459695.5586
CHLD 2 23.980469 1631459695.5586
CHLD 3 23.601562 1631459695.5589
CHLD 4 23.585938 1631459695.5589
CHLD 5 25.265625 1631459695.5590
CHLD 6 24.636719 1631459695.5590
CHLD 7 25.277344 1631459695.5591
CHLD 8 25.824219 1631459695.5591
CHLD 9 24.613281 1631459695.5591
MEM 18.863281 1631459695.6597
CHLD 0 7.519531 1631459695.6702
CHLD 1 24.449219 1631459695.6703
CHLD 2 23.968750 1631459695.6703
CHLD 3 23.546875 1631459695.6703
CHLD 4 23.519531 1631459695.6704
CHLD 5 25.246094 1631459695.6704
CHLD 6 24.558594 1631459695.6705
CHLD 7 25.273438 1631459695.6705
CHLD 8 25.773438 1631459695.6705
CHLD 9 24.582031 1631459695.6706
MEM 18.863281 1631459695.7750
CHLD 0 7.519531 1631459695.7838
CHLD 1 24.449219 1631459695.7839
CHLD 2 23.968750 1631459695.7841
CHLD 3 23.546875 1631459695.7842
CHLD 4 23.519531 1631459695.7842
CHLD 5 25.246094 1631459695.7843
CHLD 6 24.558594 1631459695.7843
CHLD 7 25.273438 1631459695.7844
CHLD 8 25.773438 1631459695.7844
CHLD 9 24.582031 1631459695.7844
MEM 18.863281 1631459695.8878
CHLD 0 7.519531 1631459695.8947
CHLD 1 24.613281 1631459695.8947
CHLD 2 23.968750 1631459695.8948
CHLD 3 23.546875 1631459695.8948
CHLD 4 23.519531 1631459695.8948
CHLD 5 25.246094 1631459695.8948
CHLD 6 24.558594 1631459695.8949
CHLD 7 25.273438 1631459695.8950
CHLD 8 25.773438 1631459695.8950
CHLD 9 24.582031 1631459695.8951
MEM 18.863281 1631459695.9958
CHLD 0 7.519531 1631459696.0033
CHLD 1 24.613281 1631459696.0033
CHLD 2 23.968750 1631459696.0034
CHLD 3 23.546875 1631459696.0034
CHLD 4 23.519531 1631459696.0034
CHLD 5 25.246094 1631459696.0035
CHLD 6 24.558594 1631459696.0035
CHLD 7 25.273438 1631459696.0035
CHLD 8 25.773438 1631459696.0036
CHLD 9 24.582031 1631459696.0036
MEM 18.863281 1631459696.1043
CHLD 0 7.519531 1631459696.1127
CHLD 1 24.613281 1631459696.1127
CHLD 2 23.968750 1631459696.1128
CHLD 3 23.546875 1631459696.1128
CHLD 4 23.519531 1631459696.1129
CHLD 5 25.246094 1631459696.1129
CHLD 6 24.558594 1631459696.1129
CHLD 7 25.273438 1631459696.1130
CHLD 8 25.773438 1631459696.1130
CHLD 9 24.582031 1631459696.1131
MEM 18.863281 1631459696.2159
CHLD 0 7.519531 1631459696.2238
CHLD 1 24.640625 1631459696.2239
CHLD 2 23.968750 1631459696.2239
CHLD 3 23.546875 1631459696.2240
CHLD 4 23.519531 1631459696.2240
CHLD 5 25.246094 1631459696.2240
CHLD 6 24.558594 1631459696.2241
CHLD 7 25.273438 1631459696.2241
CHLD 8 25.773438 1631459696.2242
CHLD 9 24.582031 1631459696.2242
MEM 18.863281 1631459696.3250
CHLD 0 7.519531 1631459696.3320
CHLD 1 24.640625 1631459696.3320
CHLD 2 23.968750 1631459696.3321
CHLD 3 23.546875 1631459696.3321
CHLD 4 23.519531 1631459696.3321
CHLD 5 25.246094 1631459696.3322
CHLD 6 24.601562 1631459696.3322
CHLD 7 25.273438 1631459696.3323
CHLD 8 25.773438 1631459696.3323
CHLD 9 24.582031 1631459696.3324
MEM 18.863281 1631459696.4327
CHLD 0 7.519531 1631459696.4404
CHLD 1 24.640625 1631459696.4404
CHLD 2 23.968750 1631459696.4405
CHLD 3 23.546875 1631459696.4405
CHLD 4 23.519531 1631459696.4406
CHLD 5 25.246094 1631459696.4406
CHLD 6 24.601562 1631459696.4407
CHLD 7 25.273438 1631459696.4407
CHLD 8 25.773438 1631459696.4408
CHLD 9 24.621094 1631459696.4409
MEM 18.863281 1631459696.5426
CHLD 0 7.519531 1631459696.5508
CHLD 1 24.640625 1631459696.5509
CHLD 2 23.968750 1631459696.5509
CHLD 3 23.546875 1631459696.5510
CHLD 4 23.519531 1631459696.5510
CHLD 5 25.246094 1631459696.5511
CHLD 6 24.601562 1631459696.5511
CHLD 7 25.273438 1631459696.5512
CHLD 8 25.773438 1631459696.5512
CHLD 9 24.621094 1631459696.5512
MEM 18.863281 1631459696.6516
CHLD 0 7.519531 1631459696.6600
CHLD 1 24.640625 1631459696.6601
CHLD 2 23.968750 1631459696.6601
CHLD 3 23.546875 1631459696.6602
CHLD 4 23.519531 1631459696.6602
CHLD 5 25.246094 1631459696.6603
CHLD 6 24.601562 1631459696.6603
CHLD 7 25.273438 1631459696.6605
CHLD 8 25.773438 1631459696.6605
CHLD 9 24.621094 1631459696.6606
MEM 18.863281 1631459696.7633
CHLD 0 7.519531 1631459696.7717
CHLD 1 24.718750 1631459696.7718
CHLD 2 23.968750 1631459696.7718
CHLD 3 23.546875 1631459696.7719
CHLD 4 23.519531 1631459696.7719
CHLD 5 25.246094 1631459696.7720
CHLD 6 24.601562 1631459696.7720
CHLD 7 25.273438 1631459696.7720
CHLD 8 25.773438 1631459696.7721
CHLD 9 24.621094 1631459696.7721
MEM 18.863281 1631459696.8757
CHLD 0 7.519531 1631459696.8833
CHLD 1 24.718750 1631459696.8834
CHLD 2 23.968750 1631459696.8834
CHLD 3 23.546875 1631459696.8834
CHLD 4 23.519531 1631459696.8835
CHLD 5 25.246094 1631459696.8835
CHLD 6 24.601562 1631459696.8836
CHLD 7 25.273438 1631459696.8836
CHLD 8 25.773438 1631459696.8836
CHLD 9 24.621094 1631459696.8837
MEM 18.863281 1631459696.9868
CHLD 0 7.519531 1631459696.9943
CHLD 1 24.718750 1631459696.9944
CHLD 2 23.968750 1631459696.9944
CHLD 3 23.546875 1631459696.9944
CHLD 4 23.519531 1631459696.9945
CHLD 5 25.246094 1631459696.9945
CHLD 6 24.695312 1631459696.9945
CHLD 7 25.273438 1631459696.9946
CHLD 8 25.773438 1631459696.9946
CHLD 9 24.621094 1631459696.9947
MEM 18.863281 1631459697.0991
CHLD 0 7.519531 1631459697.1068
CHLD 1 24.718750 1631459697.1068
CHLD 2 23.968750 1631459697.1069
CHLD 3 23.546875 1631459697.1069
CHLD 4 23.519531 1631459697.1070
CHLD 5 25.246094 1631459697.1070
CHLD 6 24.695312 1631459697.1070
CHLD 7 25.273438 1631459697.1071
CHLD 8 25.773438 1631459697.1071
CHLD 9 24.621094 1631459697.1072
MEM 18.863281 1631459697.2097
CHLD 0 7.519531 1631459697.2175
CHLD 1 24.718750 1631459697.2176
CHLD 2 23.968750 1631459697.2176
CHLD 3 23.546875 1631459697.2177
CHLD 4 23.519531 1631459697.2177
CHLD 5 25.246094 1631459697.2177
CHLD 6 24.695312 1631459697.2178
CHLD 7 25.671875 1631459697.2178
CHLD 8 25.773438 1631459697.2179
CHLD 9 24.714844 1631459697.2179
MEM 18.863281 1631459697.3191
CHLD 0 7.519531 1631459697.3267
CHLD 1 24.718750 1631459697.3268
CHLD 2 23.968750 1631459697.3268
CHLD 3 23.546875 1631459697.3269
CHLD 4 23.519531 1631459697.3269
CHLD 5 25.246094 1631459697.3269
CHLD 6 24.863281 1631459697.3270
CHLD 7 25.671875 1631459697.3270
CHLD 8 25.773438 1631459697.3270
CHLD 9 24.714844 1631459697.3271
MEM 18.863281 1631459697.4278
CHLD 0 7.519531 1631459697.4367
CHLD 1 24.718750 1631459697.4368
CHLD 2 23.968750 1631459697.4369
CHLD 3 23.546875 1631459697.4369
CHLD 4 23.519531 1631459697.4370
CHLD 5 25.644531 1631459697.4370
CHLD 6 24.863281 1631459697.4370
CHLD 7 25.671875 1631459697.4371
CHLD 8 25.773438 1631459697.4372
CHLD 9 24.878906 1631459697.4372
MEM 18.863281 1631459697.5407
CHLD 0 7.519531 1631459697.5484
CHLD 1 24.765625 1631459697.5485
CHLD 2 23.968750 1631459697.5485
CHLD 3 23.546875 1631459697.5486
CHLD 4 23.519531 1631459697.5486
CHLD 5 25.644531 1631459697.5486
CHLD 6 24.863281 1631459697.5487
CHLD 7 25.671875 1631459697.5487
CHLD 8 25.773438 1631459697.5488
CHLD 9 24.878906 1631459697.5488
MEM 18.863281 1631459697.6528
CHLD 0 7.519531 1631459697.6603
CHLD 1 24.781250 1631459697.6603
CHLD 2 23.968750 1631459697.6604
CHLD 3 23.546875 1631459697.6604
CHLD 4 23.519531 1631459697.6604
CHLD 5 25.644531 1631459697.6605
CHLD 6 24.863281 1631459697.6605
CHLD 7 25.671875 1631459697.6605
CHLD 8 25.773438 1631459697.6606
CHLD 9 24.878906 1631459697.6606
